trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.1, 'e': 0.8886435861147071}",20,0,-23.99300877390652,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.1, 'e': 0.8877549425285923}",20,0,-86.74444014678075,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
120,False,"{'a': 0.1, 'e': 0.8868671875860638}",25,0,-81.14760497022218,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
121,False,"{'a': 0.1, 'e': 0.8859803203984776}",20,0,-66.14101914524456,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.8850943400780792}",20,0,-101.8545916590869,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
123,False,"{'a': 0.1, 'e': 0.8842092457380011}",25,0,-126.99863405797693,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
124,False,"{'a': 0.1, 'e': 0.8833250364922631}",20,4,-67.56396426985249,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 1}",1
125,False,"{'a': 0.1, 'e': 0.8824417114557709}",20,0,-106.44641782647092,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
126,False,"{'a': 0.1, 'e': 0.8815592697443151}",30,0,-69.843181886554,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
127,False,"{'a': 0.1, 'e': 0.8806777104745708}",25,0,-122.74646790689017,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
128,False,"{'a': 0.1, 'e': 0.8797970327640962}",30,0,-185.73263558647628,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
129,False,"{'a': 0.1, 'e': 0.8789172357313321}",25,5,-98.17699800861587,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
130,False,"{'a': 0.1, 'e': 0.8780383184956008}",20,0,-110.7565125715397,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
131,False,"{'a': 0.1, 'e': 0.8771602801771051}",30,0,-76.79462849128022,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.1, 'e': 0.8762831198969281}",20,0,-79.37929618413334,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
133,False,"{'a': 0.1, 'e': 0.8754068367770311}",30,0,-173.32942552789655,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
134,False,"{'a': 0.1, 'e': 0.8745314299402541}",25,0,-120.52136340298725,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
135,False,"{'a': 0.1, 'e': 0.8736568985103138}",20,0,-163.0423218412652,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
136,False,"{'a': 0.1, 'e': 0.8727832416118035}",25,0,-100.10665847333976,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
137,False,"{'a': 0.1, 'e': 0.8719104583701917}",25,0,-114.81722213358572,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
138,False,"{'a': 0.1, 'e': 0.8710385479118216}",20,0,-129.39657714795635,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
139,False,"{'a': 0.1, 'e': 0.8701675093639096}",30,0,-152.74116739859573,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
140,False,"{'a': 0.1, 'e': 0.8692973418545458}",25,5,-161.28440659638093,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",1
141,False,"{'a': 0.1, 'e': 0.8684280445126912}",30,0,-155.44119049118964,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
142,False,"{'a': 0.1, 'e': 0.8675596164681786}",20,0,-12.125163794186644,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.1, 'e': 0.8666920568517104}",25,5,-104.36090778708767,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",1
144,False,"{'a': 0.1, 'e': 0.8658253647948586}",20,0,-105.845730683119,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
145,False,"{'a': 0.1, 'e': 0.8649595394300638}",35,7,-140.6369569110806,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 2}",1
146,False,"{'a': 0.1, 'e': 0.8640945798906338}",20,0,-226.2771387428921,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
147,False,"{'a': 0.1, 'e': 0.8632304853107431}",25,0,-131.80352082301275,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
148,False,"{'a': 0.1, 'e': 0.8623672548254323}",30,0,-97.75831489816886,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.861504887570607}",35,0,-149.45689751851364,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
150,False,"{'a': 0.1, 'e': 0.8606433826830363}",25,0,-139.69774259222228,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
151,False,"{'a': 0.1, 'e': 0.8597827393003533}",20,0,-50.35636674056356,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
152,False,"{'a': 0.1, 'e': 0.8589229565610529}",30,0,-91.03075743404446,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
153,False,"{'a': 0.1, 'e': 0.8580640336044919}",20,0,-75.98765865286497,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
154,False,"{'a': 0.1, 'e': 0.8572059695708873}",20,0,-95.90159485027111,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.1, 'e': 0.8563487636013165}",25,0,-110.00606326476938,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
156,False,"{'a': 0.1, 'e': 0.8554924148377152}",25,0,-144.72692916374004,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
157,False,"{'a': 0.1, 'e': 0.8546369224228775}",30,18,-33.49976370968263,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.8537822855004545}",30,21,-16.92584636992064,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.8529285032149541}",20,0,-54.92660581983231,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.8520755747117391}",20,0,-38.44545729054424,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
161,False,"{'a': 0.1, 'e': 0.8512234991370274}",20,0,-123.20370600072049,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
162,False,"{'a': 0.1, 'e': 0.8503722756378904}",20,14,-31.938894390768763,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.1, 'e': 0.8495219033622525}",20,0,-118.2036725349816,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
164,False,"{'a': 0.1, 'e': 0.8486723814588902}",20,0,-114.53645596571967,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
165,False,"{'a': 0.1, 'e': 0.8478237090774313}",20,0,-149.5326916033416,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
166,False,"{'a': 0.1, 'e': 0.8469758853683539}",20,0,-84.14240580046372,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
